variavel,decisao,justificativa_grupo,nota_tecnica,forca_associacao_Y1,metrica_usada,classificacao_Y1,pct_ausente,n_categorias,entra_no_modelo,dummy_materializada
id_carreta,DUMMY (one-hot),Identificacao da carreta.,"9.585 categorias. One-hot memoriza a carreta e nao generaliza para ativo novo; materializado por decisao explicita do Grupo, em arquivo separado.",,,,,,sim,sim
ano,CHAVE (nao e feature),Ano em que ocorreram as OS.,Usado como chave do split temporal (treino <=2024 / teste 2025). Nao vira dummy: um nivel 2026 nao existe no treino e quebraria a previsao.,,,,,,nao,-
custo_ano_nominal,RETIRAR,Numero sem a inflacao.,Correto: e o Y1 antes da deflacao pelo CPI. Mante-lo seria vazamento direto.,0.9987,Spearman,FORTE,0.0,,nao,-
n_os_ano,ALVO SECUNDARIO (Y2),Prever a quantidade de OS para o ano de 2026.,"Componente aritmetico de Y1 (Y1 = Y2 x Y3). Vira alvo proprio, nunca feature de Y1.",0.7676,Spearman,FORTE,0.0,,e alvo,-
n_sistemas_vmrs_distintos_ano,MANTER sob premissa,Media da quantidade de VMRS usada pelas carretas nos ultimos 5 anos.,"Aba 03: a premissa do Grupo foi TESTADA e venceu. Media movel de 5 anos defasada Spearman 0,474 vs defasagem t-1 0,449 - a media suaviza o ruido de ano isolado. Usar a media, calculada SO com anos anteriores (sem vazamento). A versao contemporanea (0,702) e mais forte, mas nao existe para prever 2026.",0.7021,Spearman,FORTE,0.0,,sim,-
share_pm_ano,RETIRAR,Nao testar: recorta classe especifica de manutencao.,Aceito. Associacao com Y1 registrada na aba 02 para rastreio.,0.1718,Spearman,moderada,0.0,,nao,-
km_acumulado_fim_ano,MANTER via projecao,Estimar o KM em 2026.,Contemporanea ao ano: no cenario preditivo usar o odometro de inicio de ano ou a projecao da serie por carreta.,0.435,Spearman,FORTE,0.56,,sim,-
vmrs_predominante_ano,DUMMY (one-hot),Codigo mais frequente na carreta; empate resolvido pelo mais frequente da base.,Contemporanea ao ano: valida no cenario explicativo; no preditivo exige a versao t-1.,0.3358,eta (ANOVA),FORTE,0.0,23.0,sim,sim
regiao_operacao,RETIRAR,Retirar.,Encerra a hipotese H5. Ha respaldo estatistico (eta baixo) - ver aba 02.,0.076,eta (ANOVA),fraca,0.0,10.0,nao,-
provincia_estado,RETIRAR,Retirar.,Idem H5. Cobertura parcial (~54%) reforca a decisao.,0.1417,eta (ANOVA),fraca,0.0,24.0,nao,-
